Serial No.,Flight Company,Flight ID,City Pair,Airports Pair,IATA Code Pair,Date,Class,Price (INR),Departure Time,Arrival Time
1,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-06,Economy,4605,07:00,08:00
2,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-06,Business,8058,07:00,08:00
3,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-06,First,11512,07:00,08:00
4,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-02-13,Economy,3247,20:30,23:30
5,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-02-13,Business,5682,20:30,23:30
6,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-02-13,First,8117,20:30,23:30
7,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-03-26,Economy,4040,12:30,13:30
8,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-03-26,Business,7070,12:30,13:30
9,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-03-26,First,10100,12:30,13:30
10,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-14,Economy,6473,02:30,05:30
11,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-14,Business,11327,02:30,05:30
12,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-14,First,16182,02:30,05:30
13,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-09-20,Economy,5293,19:45,21:45
14,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-09-20,Business,9262,19:45,21:45
15,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-09-20,First,13232,19:45,21:45
16,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-25,Economy,6177,16:45,19:45
17,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-25,Business,10809,16:45,19:45
18,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-25,First,15442,16:45,19:45
19,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-07,Economy,6726,08:30,12:30
20,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-07,Business,11770,08:30,12:30
21,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-07,First,16815,08:30,12:30
22,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-09-26,Economy,4947,01:00,03:00
23,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-09-26,Business,8657,01:00,03:00
24,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-09-26,First,12367,01:00,03:00
25,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-09-30,Economy,7685,13:30,14:30
26,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-09-30,Business,13448,13:30,14:30
27,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-09-30,First,19212,13:30,14:30
28,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-12-28,Economy,5022,21:15,00:15
29,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-12-28,Business,8788,21:15,00:15
